school_urn,local_authority_id,academy_URN,result_type,result_year,total_pupils,is_special,new_school,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_non_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_value_added,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
102070,308,,KS2,2015,110,TRUE,,100%,0%,0%,43%,57%,57%,86%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,0%,,0%,0%,,,0%,100%,91.6,,,67%,,,33%,
101968,307,,KS2,2015,109,TRUE,,100%,0%,0%,38%,62%,62%,100%,,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,,0%,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.9,44%,88%,69%,56%,13%,31%,
131213,390,,KS2,2015,109,TRUE,,100%,0%,0%,27%,73%,9%,100%,,18%,11%,,18%,,,,,,,13%,5%,20%,0%,0%,,0%,,,,,,,5%,0%,10%,9%,0%,,9%,,,,,,,8%,5%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,91%,92.5,54%,63%,50%,46%,38%,50%,
100766,209,,KS2,2015,107,TRUE,,100%,0%,0%,83%,17%,25%,100%,,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.6,63%,78%,73%,38%,22%,27%,
141255,316,,KS2,2015,107,TRUE,,100%,0%,0%,33%,67%,67%,50%,,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,,,,0%,,,0%,,,,100%,,,,,,,,
123332,931,,KS2,2015,106,TRUE,,100%,0%,0%,50%,50%,33%,100%,,0%,,,0%,,,,,,,14%,14%,14%,0%,,,0%,,,,,,,14%,14%,14%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,,,0%,,,0%,0%,,,100%,93,38%,,,63%,,,
108882,394,,KS2,2015,104,TRUE,,100%,0%,0%,54%,46%,15%,85%,,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.3,67%,42%,56%,33%,58%,44%,
115442,882,,KS2,2015,104,TRUE,,100%,0%,0%,67%,33%,22%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,100%,91.6,38%,43%,,63%,57%,,
137394,812,,KS2,2015,103,TRUE,,100%,0%,0%,73%,27%,0%,100%,,0%,0%,,0%,,,,,,,8%,0%,17%,0%,0%,,0%,,,,,,,8%,0%,17%,0%,0%,,0%,,,,,,,8%,0%,17%,0%,0%,0%,22%,0%,0%,22%,0%,0%,0%,0%,100%,90.3,50%,50%,33%,50%,50%,67%,
105281,350,,KS2,2015,102,TRUE,,100%,0%,0%,56%,44%,22%,89%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,91.6,50%,,75%,50%,,25%,
138157,312,,KS2,2015,100,TRUE,,100%,0%,0%,78%,22%,78%,78%,,0%,0%,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,89%,,38%,67%,60%,63%,33%,40%,
101697,305,,KS2,2015,99,TRUE,,100%,0%,0%,17%,83%,0%,100%,,17%,,,17%,,,,,,,12%,,,0%,,,0%,,,,,,,12%,,,,,,,,,,,,,6%,,,0%,,,0%,0%,,0%,0%,,,0%,100%,,,,33%,,,67%,
105138,344,,KS2,2015,99,TRUE,,100%,0%,0%,80%,20%,10%,100%,,20%,29%,,20%,,,,,,,19%,27%,8%,10%,14%,,10%,,,,,,,15%,13%,17%,10%,14%,,10%,,,,,,,11%,13%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.4,29%,63%,22%,71%,38%,78%,
117670,919,,KS2,2015,99,TRUE,,100%,0%,0%,44%,56%,19%,94%,,13%,15%,,13%,,,14%,11%,3,,20%,28%,13%,13%,15%,,13%,,,14%,11%,3,,17%,22%,13%,13%,15%,,13%,,,14%,11%,3,,17%,22%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,93.6,32%,47%,40%,68%,53%,60%,
106972,372,,KS2,2015,97,TRUE,,100%,0%,0%,50%,50%,33%,83%,,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,,,33%,57%,,67%,43%,
118144,811,,KS2,2015,97,TRUE,,100%,0%,0%,33%,67%,0%,83%,,0%,,,0%,,,,,,,10%,,,0%,,,0%,,,,,,,10%,,,0%,,,0%,,,,,,,10%,,,0%,0%,,,0%,,,0%,0%,,,100%,92.4,0%,,,100%,,,
122964,892,,KS2,2015,97,TRUE,,100%,0%,0%,25%,75%,25%,88%,,0%,0%,,,,,,,,,0%,,,0%,0%,,,,,,,,,0%,,,0%,0%,,,,,,,,,0%,,,0%,,,0%,0%,,0%,0%,,,0%,100%,,,,29%,,,71%,
111506,896,142302,KS2,2015,97,TRUE,,100%,0%,0%,44%,56%,11%,89%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,,0%,,0%,0%,,0%,,0%,,100%,90.8,,33%,,,67%,,
110951,873,,KS2,2015,96,TRUE,,100%,0%,0%,33%,67%,0%,56%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,91.5,,50%,50%,,50%,50%,
133316,310,,KS2,2015,95,TRUE,,100%,0%,0%,14%,86%,71%,100%,,0%,,,0%,,,,,,,3%,0%,4%,0%,,,0%,,,,,,,3%,0%,4%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.4,50%,33%,41%,50%,67%,59%,
101395,302,,KS2,2015,94,TRUE,,100%,0%,0%,60%,40%,53%,100%,,27%,36%,,27%,,,33%,17%,16,0%,21%,29%,11%,20%,27%,,20%,,,22%,17%,5,0%,19%,25%,11%,20%,27%,,20%,,,22%,17%,5,0%,14%,21%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.8,67%,44%,70%,33%,56%,30%,
105606,352,,KS2,2015,93,TRUE,,100%,0%,0%,94%,6%,44%,100%,,13%,13%,,14%,,,,,,14%,13%,,,0%,0%,,0%,,,,,,0%,0%,,,6%,7%,,7%,,,,,,14%,6%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.3,78%,82%,90%,22%,18%,10%,
131023,211,,KS2,2015,92,TRUE,,100%,0%,0%,88%,13%,38%,100%,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,0%,,,,,,,0%,,,0%,0%,,0%,,,,,,,0%,,,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,91.2,,75%,92%,,25%,8%,
107180,373,,KS2,2015,92,TRUE,,100%,0%,0%,56%,44%,22%,78%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,91.6,67%,,83%,33%,,17%,
103881,332,,KS2,2015,90,TRUE,,100%,0%,0%,50%,50%,33%,83%,,0%,,,0%,,,,,,,8%,8%,9%,0%,,,0%,,,,,,,4%,0%,9%,0%,,,0%,,,,,,,4%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,93.1,56%,29%,73%,44%,71%,27%,
133440,208,,KS2,2015,89,TRUE,,100%,0%,0%,93%,7%,60%,100%,,0%,0%,0%,0%,,,,,,0%,0%,,,0%,0%,0%,0%,,,,,,0%,0%,,,0%,0%,0%,0%,,,,,,0%,0%,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.9,100%,100%,100%,0%,0%,0%,
130996,891,,KS2,2015,89,TRUE,,100%,0%,0%,38%,63%,13%,25%,,13%,,,13%,,,,,,,16%,17%,15%,13%,,,13%,,,,,,,11%,17%,8%,13%,,,13%,,,,,,,16%,17%,15%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,94.8,80%,,14%,20%,,86%,
117683,919,,KS2,2015,86,TRUE,,100%,0%,0%,67%,33%,0%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,92.7,13%,,63%,88%,,38%,
101486,303,,KS2,2015,85,TRUE,,100%,0%,0%,50%,50%,8%,92%,,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,90.3,50%,,29%,50%,,71%,
116614,850,,KS2,2015,85,TRUE,,100%,0%,0%,40%,60%,0%,100%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,,0%,,,0%,,,,100%,90.9,,,,,,,
121264,926,,KS2,2015,85,TRUE,,100%,0%,0%,43%,57%,14%,86%,,0%,,,0%,,,,,,,12%,25%,0%,0%,,,0%,,,,,,,6%,13%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,0%,,0%,0%,,,0%,100%,92.1,,,50%,,,50%,
104133,334,,KS2,2015,84,TRUE,,100%,0%,0%,29%,71%,0%,86%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,,0%,,,0%,,,,100%,92.1,,,,,,,
103624,330,,KS2,2015,81,TRUE,,100%,0%,0%,63%,38%,50%,88%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.2,82%,86%,56%,18%,14%,44%,
107177,373,,KS2,2015,81,TRUE,,100%,0%,0%,78%,22%,0%,78%,,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.1,50%,56%,50%,50%,44%,50%,
135227,380,,KS2,2015,81,TRUE,,100%,0%,0%,40%,60%,40%,93%,,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.6,29%,57%,44%,71%,43%,56%,
103626,330,,KS2,2015,79,TRUE,,100%,0%,0%,60%,40%,10%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,,,0%,0%,,0%,0%,,,0%,100%,91.5,,,70%,,,30%,
133718,384,,KS2,2015,79,TRUE,,100%,0%,0%,78%,22%,0%,100%,,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,91.5,,27%,29%,,73%,71%,
104979,343,,KS2,2015,78,TRUE,,100%,0%,0%,17%,83%,17%,67%,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,0%,,,0%,,,0%,0%,,,100%,,67%,,,33%,,,
106394,358,,KS2,2015,78,TRUE,,100%,0%,0%,14%,86%,29%,100%,,0%,,,0%,,,,,,,0%,,,0%,,,0%,,,,,,,0%,,,0%,,,0%,,,,,,,0%,,,0%,0%,0%,,0%,0%,,0%,0%,0%,,100%,91.6,33%,10%,,67%,90%,,
100467,206,,KS2,2015,75,TRUE,,100%,0%,0%,67%,33%,33%,100%,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,0%,,0%,0%,,0%,,0%,,100%,,,83%,,,17%,,
100878,210,,KS2,2015,75,TRUE,,100%,0%,0%,57%,43%,29%,100%,,29%,29%,,29%,,,,,,,15%,14%,17%,29%,29%,,29%,,,,,,,15%,14%,17%,29%,29%,,29%,,,,,,,15%,14%,17%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,94.7,,100%,57%,,0%,43%,
122386,929,,KS2,2015,73,TRUE,,100%,0%,0%,25%,75%,0%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,7%,14%,0%,0%,0%,,0%,,,,,,,7%,14%,0%,0%,,,,0%,,,0%,,,,100%,91.8,,,,,,,
138736,883,,KS2,2015,69,TRUE,,100%,0%,0%,50%,50%,0%,100%,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,0%,,,0%,,,,100%,,,,,,,,
130362,919,,KS2,2015,69,TRUE,,100%,0%,0%,67%,33%,0%,78%,,11%,11%,,11%,,,,,,,19%,18%,19%,0%,0%,,0%,,,,,,,11%,0%,19%,0%,0%,,0%,,,,,,,7%,0%,12%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,93.8,55%,25%,27%,45%,75%,73%,
104275,335,,KS2,2015,66,TRUE,,100%,0%,0%,50%,50%,10%,100%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,,0%,,,0%,0%,,,100%,90.9,50%,,,50%,,,
100381,205,,KS2,2015,65,TRUE,,100%,0%,0%,100%,0%,67%,100%,,0%,,,0%,,,,,,,0%,,,0%,,,0%,,,,,,,0%,,,0%,,,0%,,,,,,,0%,,,0%,0%,,,0%,,,0%,0%,,,100%,92.1,100%,,,0%,,,
101184,213,,KS2,2015,65,TRUE,,100%,0%,0%,67%,33%,50%,100%,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,0%,,,0%,,,,100%,,,,,,,,
109391,801,,KS2,2015,65,TRUE,,100%,0%,0%,38%,63%,25%,100%,,0%,,,0%,,,,,,,0%,,,0%,,,0%,,,,,,,0%,,,0%,,,0%,,,,,,,0%,,,0%,,,,0%,,,0%,,,,88%,91.6,,,,,,,
104274,335,,KS2,2015,64,TRUE,,100%,0%,0%,50%,50%,83%,83%,,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,,,,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,,60%,89%,75%,40%,11%,25%,
109409,802,,KS2,2015,64,TRUE,,100%,0%,0%,33%,67%,0%,100%,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,0%,,,0%,,,,100%,,,,,,,,
120751,925,,KS2,2015,52,TRUE,,100%,0%,0%,33%,67%,17%,83%,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,,,,,,,0%,,,0%,,,,0%,,,0%,,,,0%,,,,,,,,
103627,330,,KS2,2015,50,TRUE,,100%,0%,0%,83%,17%,83%,83%,,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,,,,,,,0%,0%,0%,0%,,,0%,0%,,0%,0%,,,0%,100%,92.1,,,43%,,,57%,
116634,850,,KS2,2015,38,TRUE,,100%,0%,0%,0%,100%,0%,100%,,0%,,,0%,,,,,,,0%,,,0%,,,0%,,,,,,,10%,,,0%,,,0%,,,,,,,10%,,,0%,0%,,,0%,,,0%,0%,,,100%,94,17%,,,83%,,,
137883,886,,KS2,2015,269,TRUE,,100%,0%,0%,39%,61%,0%,96%,,4%,4%,,4%,,,0%,7%,-7,,2%,0%,3%,4%,4%,,4%,,,0%,7%,-7,,2%,0%,3%,4%,4%,,4%,,,0%,7%,-7,,2%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.7,40%,36%,17%,60%,64%,83%,
102881,317,,KS2,2015,165,TRUE,,100%,0%,0%,47%,53%,71%,94%,,29%,31%,,33%,,,50%,11%,39,17%,14%,22%,6%,24%,23%,,27%,,,50%,0%,50,17%,9%,19%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,93.7,25%,63%,35%,75%,37%,65%,
133369,353,,KS2,2015,149,TRUE,,100%,0%,0%,48%,52%,52%,96%,,4%,6%,0%,5%,,,9%,0%,9,0%,3%,7%,0%,0%,0%,0%,0%,,,0%,0%,0,0%,2%,3%,0%,4%,6%,0%,5%,,,9%,0%,9,0%,2%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.8,36%,53%,50%,64%,47%,50%,
139110,807,,KS2,2015,149,TRUE,,100%,0%,0%,50%,50%,0%,93%,,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.4,43%,57%,50%,57%,43%,50%,
109743,821,,KS2,2015,120,TRUE,,100%,0%,0%,50%,50%,56%,94%,,0%,0%,,0%,,,0%,0%,0,0%,2%,0%,5%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.7,60%,40%,54%,40%,60%,46%,
135200,354,,KS2,2015,94,TRUE,,100%,0%,0%,56%,44%,31%,94%,,0%,0%,0%,0%,,,0%,0%,0,,2%,0%,7%,0%,0%,0%,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90,33%,64%,73%,67%,36%,27%,
140531,893,,KS2,2015,396,TRUE,,100%,0%,0%,52%,48%,0%,95%,,5%,7%,0%,5%,,,9%,0%,9,,7%,8%,6%,10%,14%,0%,10%,,,18%,0%,18,,10%,16%,6%,10%,14%,0%,10%,,,18%,0%,18,,5%,8%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,89.9,44%,41%,25%,56%,59%,75%,
131102,301,,KS2,2015,281,TRUE,,100%,0%,0%,57%,43%,62%,90%,,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,,0%,,,0%,0%,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,88.8,82%,65%,72%,18%,35%,28%,
119059,886,,KS2,2015,216,TRUE,,100%,0%,0%,62%,38%,0%,92%,,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,92%,90.4,50%,38%,50%,50%,62%,50%,
108119,383,,KS2,2015,203,TRUE,,100%,0%,0%,57%,43%,21%,79%,,0%,0%,0%,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,,,0%,0%,0,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,90.5,50%,45%,85%,50%,55%,15%,
114349,840,,KS2,2015,202,TRUE,,100%,0%,0%,55%,45%,9%,91%,,9%,14%,,9%,,,,,,,5%,5%,5%,9%,14%,,9%,,,,,,,9%,9%,10%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.9,50%,46%,53%,50%,54%,47%,
131748,886,,KS2,2015,200,TRUE,,100%,0%,0%,40%,60%,10%,90%,,10%,13%,,10%,,,,,,,20%,38%,14%,20%,25%,,20%,,,,,,,27%,25%,27%,20%,25%,,20%,,,,,,,17%,25%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.6,50%,9%,33%,50%,91%,67%,
135119,926,,KS2,2015,176,TRUE,,100%,0%,0%,40%,60%,0%,80%,,10%,,,10%,,,,,,,3%,0%,7%,20%,,,20%,,,,,,,9%,12%,7%,20%,,,20%,,,,,,,6%,6%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.4,14%,78%,46%,86%,22%,54%,
138935,855,,KS2,2015,174,TRUE,,100%,0%,0%,56%,44%,11%,100%,,11%,,17%,11%,,,,,,,12%,10%,13%,0%,,0%,0%,,,,,,,0%,0%,0%,11%,,17%,11%,,,,,,,4%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.8,15%,25%,33%,85%,75%,67%,
111495,877,,KS2,2015,139,TRUE,,100%,0%,0%,40%,60%,0%,90%,,0%,0%,,0%,,,,,,,3%,0%,6%,0%,0%,,0%,,,,,,,3%,0%,6%,0%,0%,,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,92.5,29%,45%,60%,71%,55%,40%,
103615,330,,KS2,2015,137,TRUE,,100%,0%,0%,74%,26%,39%,96%,,35%,20%,63%,35%,,,41%,17%,24,56%,35%,35%,36%,39%,27%,63%,39%,,,47%,17%,30,44%,34%,33%,36%,35%,33%,38%,35%,,,47%,0%,47,33%,32%,35%,21%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,96%,94.6,83%,83%,86%,17%,17%,14%,
109403,803,,KS2,2015,116,TRUE,,100%,0%,0%,38%,62%,0%,92%,,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,100%,89.9,,43%,40%,,57%,60%,
130353,856,,KS2,2015,100,TRUE,,100%,0%,0%,55%,45%,64%,100%,,0%,0%,,0%,,,,,,0%,3%,4%,0%,0%,0%,,0%,,,,,,0%,0%,0%,0%,18%,22%,,18%,,,,,,14%,5%,4%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,91.7,57%,67%,63%,43%,33%,38%,
105132,344,,KS2,2015,95,TRUE,,100%,0%,0%,70%,30%,10%,100%,,20%,29%,,20%,,,,,,,9%,13%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,10%,14%,,10%,,,,,,,4%,7%,0%,0%,0%,,0%,0%,,0%,0%,0%,,0%,100%,93.4,71%,,58%,29%,,42%,
139911,331,,KS2,2015,88,TRUE,,100%,0%,0%,33%,67%,33%,89%,,44%,44%,,44%,,,,,,,39%,50%,33%,44%,44%,,44%,,,,,,,39%,33%,42%,33%,33%,,33%,,,,,,,22%,17%,25%,0%,,,0%,0%,,0%,0%,,,0%,100%,95.2,,,33%,,,67%,
117676,919,,KS2,2015,84,TRUE,,100%,0%,0%,22%,78%,22%,67%,,33%,33%,,33%,,,,,,,26%,24%,28%,22%,33%,,22%,,,,,,,29%,24%,33%,0%,0%,,0%,,,,,,,17%,12%,22%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,95,7%,73%,47%,93%,27%,53%,
